600.004808,1.307e-28,3,6,1265,1175
600.014738,2.293e-26,3,6,1265,1175
600.033813,7.496e-30,3,6,1265,1175
600.04754,7.085e-27,3,6,1265,1175
600.064993,3.323e-30,3,6,1265,1175
600.105224,5.655e-28,3,6,1265,1175
600.118301,2.466e-29,3,6,1265,1175
600.124408,6.659e-29,4,6,1265,1175
600.198592,1.385e-25,4,6,1265,1175
600.216555,9.034e-30,3,6,1265,1175
600.224434,1.431e-30,3,6,1265,1175
600.22492,8.757e-30,3,6,1265,1175
600.228018,2.393e-27,3,6,1265,1175
600.236694,2.428e-26,3,6,1265,1175
600.271583,6.581e-29,4,7,1265,1175
600.286287,4.414e-28,3,6,1265,1175
600.294635,9.386e-30,3,6,1265,1175
600.317885,2.645e-29,3,6,1265,1175
600.328095,8.811e-30,3,6,1265,1175
600.332554,5.877e-26,3,6,1265,1175
600.33829,8.79e-30,3,6,1265,1175
600.339658,1.189e-30,3,6,1265,1175
600.341506,1.406e-24,3,6,1265,1175
600.348896,1.238e-26,3,6,1265,1175
600.358069,3.094e-28,4,7,1265,1175
600.364567,1.581e-28,3,6,1265,1175
600.375186,1.653e-28,3,6,1265,1175
600.386073,4.265e-29,3,6,1265,1175
600.418523,2.552e-29,3,6,1265,1175
600.438488,6.497e-29,3,6,1265,1175
600.443674,2.46e-30,3,6,1265,1175
600.460128,3.132e-30,3,6,1265,1175
600.467099,4.562e-28,3,6,1265,1175
600.472424,7.697e-24,4,7,1265,1175
600.472444,1.148e-24,4,6,1265,1175
600.49293,8.197e-30,3,6,1265,1175
600.507841,3.157e-27,3,6,1265,1175
600.526294,3.191e-30,3,7,1265,1175
600.584984,7.014e-30,3,6,1265,1175
600.586761,2.69e-28,3,6,1265,1175
600.601962,1.981e-30,3,6,1265,1175
600.602064,1.063e-30,3,6,1265,1175
600.633474,5.741e-28,3,6,1265,1175
600.635041,3.829e-28,4,6,1265,1175
600.653064,1.162e-30,3,6,1265,1175
600.654799,1.83e-30,3,6,1265,1175
600.676591,6.396e-29,3,6,1265,1175
600.683934,2.717e-29,3,6,1265,1175
600.694531,1.011e-26,4,7,1265,1175
600.699035,1.24e-30,3,6,1265,1175
600.708578,2.822e-30,3,6,1265,1175
600.732632,1.126e-28,3,6,1265,1175
600.740111,1.288e-30,3,6,1265,1175
600.763412,1.065e-28,3,6,1265,1175
600.770071,1.808e-25,3,7,1265,1175
600.772721,4.09e-27,3,6,1265,1175
600.776415,1.3e-30,3,6,1265,1175
600.801113,2.346e-29,3,6,1265,1175
600.80221,6.817e-27,3,6,1265,1175
600.808059,1.27e-30,3,6,1265,1175
600.835143,1.194e-30,3,6,1265,1175
600.842564,3.76e-27,3,6,1265,1175
600.843684,2.436e-30,3,6,1265,1175
600.857752,1.072e-30,3,6,1265,1175
600.870106,1.913e-30,3,6,1265,1175
600.876826,3.582e-28,4,6,1265,1175
600.893355,2.13e-29,3,6,1265,1175
600.89966,6.532e-27,4,7,1265,1175
600.963663,5.333e-30,3,6,1265,1175
600.989574,1.168e-30,3,6,1265,1175
600.999703,1.436e-27,4,7,1265,1175
601.015923,1.042e-30,3,6,1265,1175
601.022862,5.203e-27,3,6,1265,1175
601.068938,2.945e-26,4,6,1265,1175
601.09272,1.39e-29,3,6,1265,1175
601.094886,1.093e-26,3,6,1265,1175
601.098015,1.353e-24,3,6,1265,1175
601.101458,8.764e-29,4,6,1265,1175
601.108863,5.208e-28,3,6,1265,1175
601.114973,9.432e-29,4,7,1265,1175
601.115237,3.526e-29,3,6,1265,1175
601.141635,4.536e-30,3,7,1265,1175
601.154623,2.424e-29,3,6,1265,1175
601.161088,8.06e-26,3,6,1265,1175
601.167816,4.413e-26,3,6,1265,1175
601.1734,1.205e-23,4,7,1265,1175
601.194191,5.734e-29,3,6,1265,1175
601.195684,3.633e-30,3,6,1265,1175
601.227596,1.216e-23,3,7,1265,1175
601.258269,1.893e-27,3,6,1265,1175
601.258459,6.496e-27,3,6,1265,1175
601.262452,2.505e-30,3,6,1265,1175
601.262707,7.407e-30,3,6,1265,1175
601.277516,1.104e-28,3,6,1265,1175
601.303798,2.033e-29,3,6,1265,1175
601.352317,3.973e-30,3,6,1265,1175
601.359546,1.881e-24,4,7,1265,1175
601.392338,5.129e-30,3,6,1265,1175
601.394475,1.987e-26,3,6,1265,1175
601.410198,9.68e-29,3,6,1265,1175
601.410395,1.158e-29,3,6,1265,1175
601.433139,1.249e-27,3,6,1265,1175
601.459631,4.319e-27,3,7,1265,1175
601.478248,1.158e-28,4,6,1265,1175
601.4797,7.959e-27,3,6,1265,1175
601.486861,2.78e-30,3,6,1265,1175
601.543722,6.378e-28,4,7,1265,1175
601.556801,2.382e-21,3,7,1265,1175
601.560036,2.548e-30,3,6,1265,1175
601.567051,1.325e-28,4,7,1265,1175
601.586402,6.523e-27,3,6,1265,1175
601.604649,2.445e-29,3,6,1265,1175
601.611289,1.188e-29,3,6,1265,1175
601.662803,5.895e-28,3,6,1265,1175
601.685289,2.957e-28,3,6,1265,1175
601.686766,9.563e-27,3,6,1265,1175
601.72492,1.438e-29,3,6,1265,1175
601.750656,2.9e-30,3,6,1265,1175
601.754172,2.124e-26,3,6,1265,1175
601.760863,1.817e-25,4,6,1265,1175
601.779077,1.461e-28,3,6,1265,1175
601.811902,4.064e-28,3,6,1265,1175
601.814333,6.428e-30,4,7,1265,1175
601.825765,1.722e-29,3,6,1265,1175
601.838364,9.598e-27,3,6,1265,1175
601.839631,9.123e-30,3,6,1265,1175
601.843195,2.902e-29,3,6,1265,1175
601.86445,1.295e-24,3,6,1265,1175
601.876253,1.013e-25,3,6,1265,1175
601.879076,3.883e-30,3,6,1265,1175
601.879829,1.126e-26,3,6,1265,1175
601.897589,9.915e-30,3,6,1265,1175
601.92918,2.712e-30,3,6,1265,1175
601.929628,1.55e-28,3,6,1265,1175
601.944398,5.036e-29,3,6,1265,1175
601.971839,2.294e-29,3,6,1265,1175
