ID,molecule,iso-slug,formula,dataset,abundance,Main column,Main format,QN label,QN format,ExoMol date,N states,N trans file,N trans,trans size readable,trans size bytes
34,H3_p,1H2-2H_p,(1H)2(2H)+,ST,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,Grve,N,Isomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d",20230123,33330,1,22164810,128.2 MB,134457919
35,H3_p,1H3_p,(1H)3+,MiZATeP,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","e/f,Grve,N,Isomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%2d",20230123,158721,1,127542657,792.5 MB,830997749
36,H3_p,2H2-1H_p,(2H)2(1H)+,MiZo,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,Grve,N,Isomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d",20221221,369500,32,2290235000,14.8 GB,15933882086
37,H3_p,2H3_p,(2H)3+,MiZo,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","e/f,Grve,N,Isomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%2d",20230124,37410,21,36078183,170.3 MB,178562461
38,HBO,1H-10B-16O,(1H)(10B)(16O),LQL,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2lin,v3,L","%3s,%2d,%2d,%2d,%3d",20240522,411255,1,76905951,893.5 MB,936921553
39,HBO,1H-11B-16O,(1H)(11B)(16O),LQL,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,v1,v2lin,v3,L","%3s,%2d,%2d,%2d,%3d",20240522,441390,1,75326612,875.7 MB,918226202
40,LiOH,6Li-16O-1H,(6Li)(16O)(1H),OYT7,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v1,v2,l2,v3","%1s,%1s,%12s,%2d,%2d,%2d,%2d",20231001,192412,5,294573305,2.3 GB,2514875607
41,LiOH,7Li-16O-1H,(7Li)(16O)(1H),OYT7,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v1,v2,l2,v3","%1s,%1s,%12s,%2d,%2d,%2d,%2d",20230529,203762,5,331274717,2.6 GB,2835085655
42,MgH,24Mg-1H,(24Mg)(1H),XAB,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220211,3148,1,88575,953.2 KB,976040
43,MgH,25Mg-1H,(25Mg)(1H),XAB,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220211,3156,1,88776,955.6 KB,978528
44,MgH,26Mg-1H,(26Mg)(1H),XAB,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7.1f,%12.6f","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%3d,%5.1f,%5.1f",20220211,3160,1,88891,956.5 KB,979470
45,N2,14N2,(14N)2,WCCRMT,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,g/u,ElecState,v,F,N","%1s,%1s,%1s,%12s,%3d,%2s,%5d",20240705,40380,1,7182000,94.5 MB,99040557
46,N2O,14N2-16O,(14N)2(16O),TYM,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","Gtot,n1,n2lin,l2,n3,P,N","%3s,%2d,%2d,%2d,%3d,%2d,%3d",20240527,1759068,21,1360351722,12.5 GB,13437321087
47,NH,14N-1H,(14N)(1H),kNigHt,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",20240301,4076,1,327014,1.6 MB,1640258
48,NH,14N-2H,(14N)(2H),kNigHt,1,"ID,E,g,J,unc","%12d,%12.6f,%6d,%7d,%12.6f","+/-,e/f,ElecState,v,Lambda,N,F","%1s,%1s,%12s,%3d,%3d,%5d,%2d",20240301,7406,1,778105,3.7 MB,3903505
