id,molecule,molhtml,molname,isoslug,isoformula,isotag,isomass,dataset,filename
38,SiO,SiO,Silicon monoxide,28Si-16O,(28Si)(16O),28si16o,43.971841,SiOUVenIR,SiO__28Si-16O__SiOUVenIR__(28Si)(16O).csv
39,SO,SO,Sulfur monoxide,32S-16O,(32S)(16O),32s16o,47.966986,SOLIS,SO__32S-16O__SOLIS__(32S)(16O).csv
40,SO2,SO<sub>2</sub>,Sulfur dioxide,32S-16O2,(32S)(16O)2,32s16o2,63.961900,ExoAmes,SO2__32S-16O2__ExoAmes__(32S)(16O)2.csv
41,TiO,TiO,Titanium oxide,46Ti-16O,(46Ti)(16O),46ti16o,61.947541,Toto,TiO__46Ti-16O__Toto__(46Ti)(16O).csv
42,TiO,TiO,Titanium oxide,47Ti-16O,(47Ti)(16O),47ti16o,62.946672,Toto,TiO__47Ti-16O__Toto__(47Ti)(16O).csv
43,TiO,TiO,Titanium oxide,48Ti-16O,(48Ti)(16O),48ti16o,63.942856,Toto,TiO__48Ti-16O__Toto__(48Ti)(16O).csv
44,TiO,TiO,Titanium oxide,49Ti-16O,(49Ti)(16O),49ti16o,64.942779,Toto,TiO__49Ti-16O__Toto__(49Ti)(16O).csv
45,TiO,TiO,Titanium oxide,50Ti-16O,(50Ti)(16O),50ti16o,65.939700,Toto,TiO__50Ti-16O__Toto__(50Ti)(16O).csv
46,YO,YO,Yttrium monoxide,89Y-16O,(89Y)(16O),89y16o,104.900756,BRYTS,YO__89Y-16O__BRYTS__(89Y)(16O).csv
47,YO,YO,Yttrium monoxide,89Y-17O,(89Y)(17O),89y17o,105.904973,BRYTS,YO__89Y-17O__BRYTS__(89Y)(17O).csv
48,YO,YO,Yttrium monoxide,89Y-18O,(89Y)(18O),89y18o,106.905001,BRYTS,YO__89Y-18O__BRYTS__(89Y)(18O).csv
49,ZrO,ZrO,Zirconium oxide,90Zr-16O,(90Zr)(16O),90zr16o,105.899613,ZorrO,ZrO__90Zr-16O__ZorrO__(90Zr)(16O).csv
50,ZrO,ZrO,Zirconium oxide,91Zr-16O,(91Zr)(16O),91zr16o,106.900555,ZorrO,ZrO__91Zr-16O__ZorrO__(91Zr)(16O).csv
51,ZrO,ZrO,Zirconium oxide,92Zr-16O,(92Zr)(16O),92zr16o,107.899950,ZorrO,ZrO__92Zr-16O__ZorrO__(92Zr)(16O).csv
52,ZrO,ZrO,Zirconium oxide,93Zr-16O,(93Zr)(16O),93zr16o,108.901385,ZorrO,ZrO__93Zr-16O__ZorrO__(93Zr)(16O).csv
53,ZrO,ZrO,Zirconium oxide,94Zr-16O,(94Zr)(16O),94zr16o,109.901227,ZorrO,ZrO__94Zr-16O__ZorrO__(94Zr)(16O).csv
54,ZrO,ZrO,Zirconium oxide,96Zr-16O,(96Zr)(16O),96zr16o,111.903192,ZorrO,ZrO__96Zr-16O__ZorrO__(96Zr)(16O).csv
