id,filename,molecule,molhtml,moltag,molname,molmass,isoslug,isoformula,isohtml,isohtml,isotag,isohtml,isohtml,isomass,dataset
16,H3_p__1H2-2H_p__ST__(1H)2(2H)+.csv,H3+,H<sub>3</sub><sup>+</sup>,h3+,Trihydrogen cation,3.024000,1H2-2H+,(1H)2(2H)+,<sup>1</sup>H<sub>2</sub><sup>2</sup>H<sup>+</sup>,<sup>1</sup>H<sub>2</sub><sup>2</sup>H<sup>+</sup>,1h22h+,<sup>1</sup>H<sub>2</sub><sup>2</sup>H<sup>+</sup>,<sup>1</sup>H<sub>2</sub><sup>2</sup>H<sup>+</sup>,4.029752,ST
17,H3_p__1H3_p__MiZATeP__(1H)3+.csv,H3+,H<sub>3</sub><sup>+</sup>,h3+,Trihydrogen cation,3.024000,1H3+,(1H)3+,<sup>1</sup>H<sub>3</sub><sup>+</sup>,<sup>1</sup>H<sub>3</sub><sup>+</sup>,1h3+,<sup>1</sup>H<sub>3</sub><sup>+</sup>,<sup>1</sup>H<sub>3</sub><sup>+</sup>,3.023475,MiZATeP
18,H3_p__2H2-1H_p__MiZo__(2H)2(1H)+.csv,H3+,H<sub>3</sub><sup>+</sup>,h3+,Trihydrogen cation,3.024000,2H2-1H+,(2H)2(1H)+,<sup>2</sup>H<sub>2</sub><sup>1</sup>H<sup>+</sup>,<sup>2</sup>H<sub>2</sub><sup>1</sup>H<sup>+</sup>,2h21h+,<sup>2</sup>H<sub>2</sub><sup>1</sup>H<sup>+</sup>,<sup>2</sup>H<sub>2</sub><sup>1</sup>H<sup>+</sup>,5.036029,MiZo
19,H3_p__2H3_p__MiZo__(2H)3+.csv,H3+,H<sub>3</sub><sup>+</sup>,h3+,Trihydrogen cation,3.024000,2H3+,(2H)3+,<sup>2</sup>H<sub>3</sub><sup>+</sup>,<sup>2</sup>H<sub>3</sub><sup>+</sup>,2h3+,<sup>2</sup>H<sub>3</sub><sup>+</sup>,<sup>2</sup>H<sub>3</sub><sup>+</sup>,6.042305,MiZo
20,H3O_p__1H3-16O_p__eXeL__(1H)3(16O)+.csv,H3O+,H<sub>3</sub>O<sup>+</sup>,h3o+,Hydronium cation,19.023000,1H3-16O+,(1H)3(16O)+,<sup>1</sup>H<sub>3</sub><sup>16</sup>O<sup>+</sup>,<sup>1</sup>H<sub>3</sub><sup>16</sup>O<sup>+</sup>,1h316o+,<sup>1</sup>H<sub>3</sub><sup>16</sup>O<sup>+</sup>,<sup>1</sup>H<sub>3</sub><sup>16</sup>O<sup>+</sup>,19.018390,eXeL
21,LiOH__6Li-16O-1H__OYT7__(6Li)(16O)(1H).csv,LiOH,LiOH,lioh,Lithium hydroxide,23.947000,6Li-16O-1H,(6Li)(16O)(1H),<sup>6</sup>Li<sup>16</sup>O<sup>1</sup>H,<sup>6</sup>Li<sup>16</sup>O<sup>1</sup>H,6li16o1h,<sup>6</sup>Li<sup>16</sup>O<sup>1</sup>H,<sup>6</sup>Li<sup>16</sup>O<sup>1</sup>H,23.017863,OYT7
22,LiOH__7Li-16O-1H__OYT7__(7Li)(16O)(1H).csv,LiOH,LiOH,lioh,Lithium hydroxide,23.947000,7Li-16O-1H,(7Li)(16O)(1H),<sup>7</sup>Li<sup>16</sup>O<sup>1</sup>H,<sup>7</sup>Li<sup>16</sup>O<sup>1</sup>H,7li16o1h,<sup>7</sup>Li<sup>16</sup>O<sup>1</sup>H,<sup>7</sup>Li<sup>16</sup>O<sup>1</sup>H,24.018743,OYT7
23,MgH__24Mg-1H__XAB__(24Mg)(1H).csv,MgH,MgH,mgh,Magnesium monohydride,25.313000,24Mg-1H,(24Mg)(1H),<sup>24</sup>Mg<sup>1</sup>H,<sup>24</sup>Mg<sup>1</sup>H,24mg1h,<sup>24</sup>Mg<sup>1</sup>H,<sup>24</sup>Mg<sup>1</sup>H,24.992867,XAB
24,MgH__25Mg-1H__XAB__(25Mg)(1H).csv,MgH,MgH,mgh,Magnesium monohydride,25.313000,25Mg-1H,(25Mg)(1H),<sup>25</sup>Mg<sup>1</sup>H,<sup>25</sup>Mg<sup>1</sup>H,25mg1h,<sup>25</sup>Mg<sup>1</sup>H,<sup>25</sup>Mg<sup>1</sup>H,25.993662,XAB
25,MgH__26Mg-1H__XAB__(26Mg)(1H).csv,MgH,MgH,mgh,Magnesium monohydride,25.313000,26Mg-1H,(26Mg)(1H),<sup>26</sup>Mg<sup>1</sup>H,<sup>26</sup>Mg<sup>1</sup>H,26mg1h,<sup>26</sup>Mg<sup>1</sup>H,<sup>26</sup>Mg<sup>1</sup>H,26.990418,XAB
